Station
Ada 1N
Adams 5N
Alamo 2S
Alexander 7SW
Alvarado 4N
Amidon 1NE
Antelope Creek 8SE
Arnegard 9N
Ayr 1NW
Baker 1N
Banks 8SW
Bantry 3SW
Battleview 8NE
Beach 9S
Beardsley 5NE
Becker 3S
Benedict 4SE
Berthold 5NW
Big Bend 5NE
Bottineau 14W
Bowbells 1N
Bowman 4W
Brampton 2WSW
Bremen 3E
Brocket 1E
Brorson 5NW
Buford 3SE
Campbell 3SE
Cando 1W
Carrington 4N
Carson 9ENE
Casselton 1SW
Cavalier 4NNW
Cedar Lake 3W
Center 5S
Charbonneau 5NW
Clarissa 1SE
Clyde 4SW
Cologne 4SE
Columbus 12S
Cooperstown 3W
Cottonwood S
Courtenay 5W
Crane Creek 1E
Crary 1E
Croff 3E
Crookston 3N
Crosby 7S
Crystal 4NW
Dagmar 7WSW
Davis Dam 2NW
Dazey 2E
Delhi 4SW
Denhoff 1NE
Dickinson 1NW
Dooley 3S
Dry Fork 1SE
Dublin 2SW
Dunn 1SW
Edgeley 4SW
Edmore 3NW
Ekre
Elbow Lake 2S
Eldred 2W
Elgin 10NW
Elkton 5S
Ellendale 4NE
Emerado 2E
Epping 2SE
Eyota 1SE
Fairfax 5NE
Fairfield 2W
Fargo NW
Fayette 3W
Fertile 4N
Fingal 4W
Finley 1NNW
Forest River 7WNW
Fort Yates 2W
Fortuna 4N
Fosston 6SW
Fountain 3W
Four Bears 5NW
Fox 4NE
Foxhome 4E
Froid 5S
Galesburg 4SSW
Gardner 2SSW
Garrison 13NW
Geneva 3W
Genoa 3S
Gluek 5W
Glyndon 1SE
Godahl 1N
Grafton 10E
Grand Forks 3S
Grassy Butte 2E
Greenbush 7W
Grenora 8N
Haley 3W
Halliday 4N
Hanks 4S
Harvey 3S
Hastings 4S
Hawkeye 3NW
Hazen 2W
Heaton 1S
Hebron 7S
Herman 5W
Hettinger NW
Hillsboro 7SE
Hirschville 2NE
Hofflund
Holloway 3W
Hope 5NE
Hubbard 1SE
Humboldt 4SW
Hurdsfield NW
Inkster 3W
Isanti 3E
Jamestown 10W
Jud 1S
Karlsruhe 2N
Keene 5SW
Kempton 6SE
Kennedy 6W
Kenyon 2NE
Kintyre 3S
Lamberton 2W
Langdon 1E
Lefor 10SE
Leonard 5N
Leota 2SW
Liberty 5E
Linton 5NW
Lisbon 2W
Little Falls 6SE
Little Missouri
Livona 5S
Logan Center 2E
Luverne 6S
Mabel 3E
Maddock 2N
Madison 5SW
Mandan 4S
Manning 4SW
Marion 2S
Marmarth 2N
Marshall 5N
Mavie 3WSW
Max 3N
Maxbass 6SW
Mayville 2E
McHenry 8N
McKenzie 2E
Medicine Hole 9NW
Michigan 2W
Milnor 1S
Minot 4S
Mohall 1W
Mooreton 3SW
Mora 2SW
Morris 1E
Mosher 4NE
Mott 1N
Murdock
Neudorf 10SW
New England 5W
New Hradec 6NW
New Salem 6SE
Niles 3SE
Noonan 9S
Oakes 4S
Ottertail 1SW
Palermo 8N
Parkers Prairie 2NW
Peace Garden
Pease 2S
Pekin 2NE
Perham 2NW
Perley 6E
Perth 7E
Peterson 3N
Pick City 8SW
Pickardville 6SW
Pillsbury 1N
Pine Island 5SW
Pine Point 2N
Pioneer
Plaza 10S
Poker Jim
Portal 1SE
Powers Lake 6SE
Pretty Rock 2E
Prosper 5NW
Pyramid Park
Rat Lake 4NW
Ray 4N
Redstone 5E
Rice 4NW
Robinson 3NNW
Rolla 2S
Rollag 3E
Roseau 11S
Ross 4E
Rothsay 2W
Rugby 3W
Ryder 9NE
Sabin 2NE
Sanger 1S
Sawyer 7S
Schafer 2W
Sentinel Butte 10N
Shell Lake 2SE
Shields 2N
Sidney 1NW
Skogmo 3N
Sonora 1E
St. Anthony 8SW
St. Gertrude 12S
St. Peter 1W
St. Thomas 2WSW
Stanley 8SW
Staples 2N
Steele 5NW
Stephen 1NE
Stirum 3W
Strasburg 15W
Streeter 6NW
Sully Springs
Sunny Slope 3W
Tappen 3E
Taylor 6NW
Tioga 7NW
Turtle Lake 4N
Ulen 7ESE
Underwood 1NW
Vernon Center 1NE
Viking 1SW
Wadena 4W
Wahpeton 6N
Wales 1W
Warren 6SW
Waseca 1SW
Watford City 3SW
Waukon 3S
Webster 1N
Wells 3S
Werner 6N
Westport
Williams 6N
Williston 5SW
Willmar 2SW
Willow City 4E
Windom 4SE
Wing 8N
Wirch 7NW
Wishek 5W
Wolford 4E
Wolverton 2E
Woodworth 2NE
Ypsilanti 2E
Zap 11N
Zeeland 7NE
