Station_Station,Ag District_Ag District,Last Updated_Last Updated,Current_Air Temp,Current_Wind Dir,Current_Wind Speed,Current_Peak Gust,Current_Rel Hum,Current_Dew Point Temp,Current_Est. Wet-bulb Temp,Current_Est. ΔT,Current_Inversion 9/1.5 m,Current_Inversion 3/0.5 m,Current_Bare Soil Temp,Current_Turf Soil Temp,Current_Solar Rad,Current_Sea-level Baro Press,Yest's Total Rain_Yest's Total Rain,Today's Total Rain_Today's Total Rain,Last Hour's Total Rain_Last Hour's Total Rain,Today's Max Air Temp_Today's Max Air Temp,Today's Min Air Temp_Today's Min Air Temp,Today's Peak Gust_Today's Peak Gust,Fetched_At_UTC
Ada 1N,MN-NW,22 Aug 09:40 CDT,63°,N,4 mph,9 mph,80 %,57°,60°,4°,---,-1°,65°,64°,386 W/m²,---,"0.00""","0.00""","0.00""",63° (09:40),49° (06:28),9 mph (09:37),2026-08-22T14:43:57.076250
Adams 5N,ND-NE,22 Aug 09:40 CDT,63°,N,5 mph,8 mph,68 %,52°,56°,6°,-1°,-2°,61°,61°,438 W/m²,1024.6 mb,"0.00""","0.00""","0.00""",63° (09:40),49° (06:36),9 mph (05:18),2026-08-22T14:43:57.076250
Alamo 2S,ND-NW,22 Aug 09:40 CDT,63°,ESE,6 mph,9 mph,71 %,54°,57°,6°,---,-2°,61°,62°,393 W/m²,---,"0.03""","0.00""","0.00""",63° (09:40),45° (07:14),10 mph (09:30),2026-08-22T14:43:57.076250
Alexander 7SW,ND-WC,22 Aug 09:40 CDT,65°,E,8 mph,12 mph,57 %,49°,56°,9°,---,-2°,63°,65°,384 W/m²,---,"0.09""","0.00""","0.00""",65° (09:39),47° (07:21),12 mph (09:38),2026-08-22T14:43:57.076250
Alvarado 4N,MN-NW,22 Aug 09:40 CDT,63°,NNW,11 mph,13 mph,77 %,56°,59°,5°,---,-2°,63°,63°,452 W/m²,---,"0.00""","0.00""","0.00""",63° (09:40),51° (05:32),13 mph (09:01),2026-08-22T14:43:57.076250
Amidon 1NE,ND-SW,22 Aug 09:40 CDT,69°,E,9 mph,14 mph,51 %,50°,57°,11°,-1°,-2°,62°,60°,388 W/m²,1026.8 mb,"0.00""","0.00""","0.00""",69° (09:40),50° (07:24),14 mph (09:36),2026-08-22T14:43:57.076250
Antelope Creek 8SE,ND-WC,22 Aug 09:40 CDT,66°,E,8 mph,10 mph,55 %,49°,56°,10°,---,-1°,60°,60°,327 W/m²,1025.1 mb,"0.02""","0.00""","0.00""",66° (09:40),47° (04:59),11 mph (09:34),2026-08-22T14:43:57.076250
Arnegard 9N,ND-WC,22 Aug 09:40 CDT,65°,ESE,8 mph,13 mph,56 %,49°,56°,9°,---,-3°,69°,68°,394 W/m²,---,"0.02""","0.00""","0.00""",65° (09:33),56° (07:07),14 mph (09:23),2026-08-22T14:43:57.076250
Ayr 1NW,ND-EC,22 Aug 09:40 CDT,66°,NNE,10 mph,12 mph,67 %,55°,59°,7°,-1°,-4°,66°,65°,459 W/m²,1023.4 mb,"0.00""","0.00""","0.00""",67° (09:39),51° (07:16),12 mph (09:20),2026-08-22T14:43:57.076250
Baker 1N,ND-NC,22 Aug 09:40 CDT,62°,NE,4 mph,9 mph,69 %,52°,56°,6°,---,-1°,61°,62°,417 W/m²,1025.2 mb,"0.00""","0.00""","0.00""",63° (09:40),51° (07:20),9 mph (09:35),2026-08-22T14:43:57.076250
