Station,Full,Latitude,Longitude,Date,Hour,Temperature,RH,WindDirDegrees,WindDirCompass,WindSpeed,WindSpeedMax,Rain1Hr,Rain24Hr,TempMax,TempMin,RHMax,RHMin
ECWJH,Southend,56.33,-103.28,"Aug 16, 2026",9,17.3,70,242,wsw,8.0,17.0,0.00,0.00,17.3,15.4,76.0,69.0
FISHR,,,,"Aug 16, 2026",11,22.1,66,295,wnw,11.7,20.7,0.00,0.00,NULL,NULL,NULL,NULL
MISSI,Missi Falls,57.322928,-98.135835,"Aug 16, 2026",11,19.7,68,224,sw,15.9,18.6,0.00,NULL,NULL,NULL,NULL,NULL
KEEYA,Keeyask,56.364,-95.239,"Aug 16, 2026",11,21.3,49,254,wsw,18.9,23.3,0.00,NULL,NULL,NULL,NULL,NULL
PISEW,Pisew Falls,55.197016,-98.396943,"Aug 16, 2026",11,25.0,38,225,sw,11.8,31.6,0.00,0.00,25.0,23.6,48.0,38.0
MOUNT,,,,"Aug 16, 2026",11,19.1,59,304,nw,10.0,20.2,0.00,0.00,NULL,NULL,NULL,NULL
MOOSE,,,,"Aug 16, 2026",12,22.8,62,267,w,13.6,23.6,0.00,0.00,NULL,NULL,NULL,NULL
OXFHS,Oxford House,54.948447,-95.265748,"Aug 16, 2026",12,22.6,53,231,sw,11.5,27.2,0.00,0.76,22.6,21.2,62.0,53.0
NOTIH,Notigi Hydro,55.86869,-99.323348,"Aug 16, 2026",12,22.5,45,242,wsw,9.7,17.2,0.00,0.12,NULL,NULL,NULL,NULL
NOTIG,Notigi,55.871,-99.311,"Aug 16, 2026",12,23.7,46,242,wsw,8.0,22.5,0.00,0.25,24.2,23.1,55.0,43.0
JENPE,Jenpeg,54.520662,-98.045568,"Aug 16, 2026",12,23.9,47,304,nw,8.6,18.3,0.00,8.12,NULL,NULL,NULL,NULL
HOOK,Hooker Lake,51.54,-96.23,"Aug 16, 2026",12,24.7,44,283,wnw,9.4,26.8,0.00,5.85,24.7,22.6,61.0,40.0
HERMN,Hermon Lake,55.18,-96.81,"Aug 16, 2026",12,25.0,39,254,wsw,15.7,29.8,0.00,0.50,25.0,23.8,45.0,39.0
HARTM,Hart Mountain,52.481399,-101.4246137,"Aug 16, 2026",12,21.0,50,285,wnw,9.8,28.7,0.00,0.76,21.0,19.6,55.0,50.0
HARGR,Hargrave Ridge,54.3,-99.828,"Aug 16, 2026",12,24.0,46,249,wsw,0.0,5.5,0.00,0.00,24.0,23.0,52.0,44.0
HADAS,Hadashville,49.64,-95.95,"Aug 16, 2026",12,22.9,53,308,nw,7.0,22.0,0.00,0.40,22.9,21.6,62.0,49.0
GYPSV,Gypsumville,51.769,-98.64,"Aug 16, 2026",12,25.2,44,282,wnw,14.3,27.8,0.00,0.38,25.2,23.7,52.0,42.0
GUNNL,Gunn Lake,50.85,-100.5,"Aug 16, 2026",12,20.7,48,227,sw,9.3,18.8,0.00,0.00,NULL,NULL,NULL,NULL
GRNLK,Green Lake,50.1,-95.379,"Aug 16, 2026",12,22.2,48,309,nw,13.7,29.2,0.00,0.75,22.3,21.8,61.0,45.0
